date,year,quarter,month,week,day_of_week,day_of_month,day_of_year,is_weekend,season,month_name,day_name,load_time
2022-01-01 00:00:00,2022,1,1,52,6,1,1,true,Winter,January,Saturday,2025-12-28 11:29:27.13192+01
2022-01-02 00:00:00,2022,1,1,52,0,2,2,true,Winter,January,Sunday,2025-12-28 11:29:27.13192+01
2022-01-03 00:00:00,2022,1,1,1,1,3,3,false,Winter,January,Monday,2025-12-28 11:29:27.13192+01
2022-01-04 00:00:00,2022,1,1,1,2,4,4,false,Winter,January,Tuesday,2025-12-28 11:29:27.13192+01
2022-01-05 00:00:00,2022,1,1,1,3,5,5,false,Winter,January,Wednesday,2025-12-28 11:29:27.13192+01
2022-01-06 00:00:00,2022,1,1,1,4,6,6,false,Winter,January,Thursday,2025-12-28 11:29:27.13192+01
2022-01-07 00:00:00,2022,1,1,1,5,7,7,false,Winter,January,Friday,2025-12-28 11:29:27.13192+01
2022-01-08 00:00:00,2022,1,1,1,6,8,8,true,Winter,January,Saturday,2025-12-28 11:29:27.13192+01
2022-01-09 00:00:00,2022,1,1,1,0,9,9,true,Winter,January,Sunday,2025-12-28 11:29:27.13192+01
2022-01-10 00:00:00,2022,1,1,2,1,10,10,false,Winter,January,Monday,2025-12-28 11:29:27.13192+01
2022-01-11 00:00:00,2022,1,1,2,2,11,11,false,Winter,January,Tuesday,2025-12-28 11:29:27.13192+01
2022-01-12 00:00:00,2022,1,1,2,3,12,12,false,Winter,January,Wednesday,2025-12-28 11:29:27.13192+01
2022-01-13 00:00:00,2022,1,1,2,4,13,13,false,Winter,January,Thursday,2025-12-28 11:29:27.13192+01
2022-01-14 00:00:00,2022,1,1,2,5,14,14,false,Winter,January,Friday,2025-12-28 11:29:27.13192+01
2022-01-15 00:00:00,2022,1,1,2,6,15,15,true,Winter,January,Saturday,2025-12-28 11:29:27.13192+01
2022-01-16 00:00:00,2022,1,1,2,0,16,16,true,Winter,January,Sunday,2025-12-28 11:29:27.13192+01
2022-01-17 00:00:00,2022,1,1,3,1,17,17,false,Winter,January,Monday,2025-12-28 11:29:27.13192+01
